iter	RMSE
0	0.5556846276
1	0.5195163769
2	0.4874674792
3	0.4587765781
4	0.4314648873
5	0.4092924259
6	0.3887997209
7	0.370486079
8	0.35363833
9	0.3396198511
10	0.327227059
11	0.3162950065
12	0.306993542
13	0.2977134544
14	0.2900137874
15	0.2825453609
16	0.275904731
17	0.2695668556
18	0.2643024953
19	0.2598183406
20	0.2557527328
21	0.2517582404
22	0.2484039997
23	0.2450435386
24	0.2424550902
25	0.2396315782
26	0.2372969534
27	0.2353185124
28	0.2330380863
29	0.2308095632
30	0.2290948103
31	0.2272593653
32	0.2252125952
33	0.2235647027
34	0.2222286095
35	0.2209554453
36	0.2188225711
37	0.2175606762
38	0.2161672589
39	0.2146530468
40	0.2135345986
41	0.2126259556
42	0.2117334718
43	0.210637272
44	0.2095322463
45	0.2087930844
46	0.2077645816
47	0.2065972189
48	0.2057342903
49	0.2046929233
50	0.2041237303
51	0.2034800655
52	0.2027595637
53	0.2019737038
54	0.2011303721
55	0.2005627539
56	0.1997890097
57	0.1990675245
58	0.1984438478
59	0.1978482848
60	0.1973159959
61	0.1968247283
62	0.1963825816
63	0.1958341871
64	0.1951411756
65	0.1947620867
66	0.19398276
67	0.1933391126
68	0.1928026705
69	0.1919651549
70	0.1915417455
71	0.1911220755
72	0.1905918551
73	0.1903223687
74	0.1899190148
75	0.1894414241
76	0.1890086204
77	0.1886963902
78	0.1883268093
79	0.1879064508
80	0.1875403225
81	0.1872637366
82	0.1868284136
83	0.1863964418
84	0.1859508172
85	0.1854704146
86	0.184869598
87	0.1845407988
88	0.1841314639
89	0.1837923517
90	0.1833302956
91	0.1828195964
92	0.1823407932
93	0.1819692157
94	0.1817345679
95	0.1814884827
96	0.1810826939
97	0.1808431472
98	0.1803947418
99	0.1800527077
100	0.1796960553
101	0.1794501202
102	0.1791373284
103	0.178743474
104	0.1784168767
105	0.1780290029
106	0.1776946763
107	0.1773268154
108	0.1766741369
109	0.1763634313
110	0.176027905
111	0.1755593922
112	0.1753406132
113	0.1750272198
114	0.1747468962
115	0.1744826373
116	0.1741352387
117	0.1737069566
118	0.1734130826
119	0.1731798963
120	0.1728953565
121	0.1726541415
122	0.1722985618
123	0.1720520829
124	0.1716473068
125	0.1711341924
126	0.1708707595
127	0.1704764646
128	0.1702314772
129	0.1700151997
130	0.1697441655
131	0.16941989
132	0.1691258076
133	0.168901537
134	0.1687271168
135	0.1684376038
136	0.1679952704
137	0.1677741399
138	0.1675691971
139	0.1672033087
140	0.1669221905
141	0.1667674227
142	0.166470852
143	0.1662719231
144	0.1658488102
145	0.1655595075
146	0.1652770516
147	0.1649361846
148	0.1646970379
149	0.1644636128
150	0.1640672275
151	0.1638148347
152	0.1635904065
153	0.1633779843
154	0.1632080226
155	0.1629706288
156	0.1628237416
157	0.1625271438
158	0.1623175692
159	0.1621840658
160	0.1618902874
161	0.1617152336
162	0.1615388449
163	0.1611709666
164	0.1609397028
165	0.1607092039
166	0.1605005826
167	0.1602802176
168	0.1600798128
169	0.1599941533
170	0.1597690679
171	0.1595866361
172	0.15938186
173	0.1592167555
174	0.1590044861
175	0.1587112384
176	0.1585846522
177	0.1584326306
178	0.1582318174
179	0.1580177543
180	0.1579287472
181	0.1577488812
182	0.1576060428
183	0.1573211436
184	0.1571666187
185	0.156951939
186	0.1567645068
187	0.156486745
188	0.1563511055
189	0.1561882825
190	0.1560520955
191	0.1558411777
192	0.1556552915
193	0.1554329264
194	0.1552606096
195	0.1550292725
196	0.15485907
197	0.1547764886
198	0.1545737359
199	0.1544066759
200	0.1541332964
201	0.1540545899
202	0.1538807147
203	0.15371957
204	0.1535578226
205	0.1533967843
206	0.1532879481
207	0.1531174525
208	0.1529866057
209	0.1528225726
210	0.1526900356
211	0.1524847946
212	0.1524002078
213	0.1522320566
214	0.1520766604
215	0.1519321143
216	0.1518345476
217	0.1516825047
218	0.1516043419
219	0.1515210113
220	0.1512894514
221	0.1511261851
222	0.1509882014
223	0.1509116158
224	0.1508213543
225	0.150738392
226	0.1505916713
227	0.1504083109
228	0.1502911887
229	0.1501595235
230	0.1500254331
231	0.1499503912
232	0.1498666798
233	0.1497092599
234	0.1496350947
235	0.1495371338
236	0.1494580363
237	0.1493283437
238	0.1492442381
239	0.1491648191
240	0.1490320546
241	0.1489203133
242	0.1487807833
243	0.1486136254
244	0.1484450621
245	0.1482784027
246	0.1482174206
247	0.1480663157
248	0.1479654327
249	0.1478899138
250	0.1477650682
251	0.1476629062
252	0.1475347558
253	0.1474662972
254	0.1473825938
255	0.1472733436
256	0.1471869718
257	0.1470685692
258	0.1469097627
259	0.1467380965
260	0.1466290309
261	0.1463677822
262	0.1462543957
263	0.1461164532
264	0.1459894234
265	0.1459137033
266	0.1457958023
267	0.1456666502
268	0.1455825954
269	0.1455093431
270	0.1454053705
271	0.1452645522
272	0.1451919183
273	0.1451072514
274	0.1449608125
275	0.1449137515
276	0.1448138021
277	0.1447632653
278	0.1446749196
279	0.1446319722
280	0.1444901172
281	0.1443793041
282	0.1442525902
283	0.1441497047
284	0.1441018351
285	0.1440115973
286	0.1438439241
287	0.1437356116
288	0.1436188854
289	0.1435354605
290	0.1434771434
291	0.1433277955
292	0.1432407381
293	0.1431651644
294	0.14304693
295	0.1429888321
296	0.1429172927
297	0.1428336571
298	0.1427179302
299	0.1426681506
300	0.1425485429
301	0.1424551124
302	0.1423803743
303	0.1423115828
304	0.1422259938
305	0.1421387863
306	0.1420370796
307	0.1419503799
308	0.141842545
309	0.1417656919
310	0.1415645858
311	0.1414823898
312	0.1414056312
313	0.1413205323
314	0.1412302523
315	0.141153723
316	0.1410184785
317	0.1409657536
318	0.1408765803
319	0.1407716475
320	0.1406949316
321	0.140581626
322	0.140469844
323	0.1403698366
324	0.1402968218
325	0.1402184953
326	0.1401358272
327	0.1400803371
328	0.1400141604
329	0.1399548527
330	0.1398739141
331	0.139783066
332	0.1396832944
333	0.1396310177
334	0.1395428501
335	0.139470531
336	0.1394072429
337	0.1393286793
338	0.1392809256
339	0.1391757824
340	0.1391113421
341	0.1390431311
342	0.138988235
343	0.1389152032
344	0.1387970542
345	0.1387538445
346	0.1387215195
347	0.1386599278
348	0.1386186158
349	0.1385172972
350	0.1384262413
351	0.1383644704
352	0.1382230784
353	0.1381807469
354	0.1380494106
355	0.1379616515
356	0.1378687952
357	0.1377938341
358	0.1377631478
359	0.1377173735
360	0.1376218925
361	0.1375131691
362	0.1374569453
363	0.1373959856
364	0.1373323327
365	0.1372437911
366	0.1371986482
367	0.1371066564
368	0.1370558029
369	0.1370112473
370	0.1368779903
371	0.1368254234
372	0.1367846818
373	0.1367137197
374	0.1366522448
375	0.1365757057
376	0.1365066993
377	0.1364567281
378	0.1363771006
379	0.1363293302
380	0.1362156135
381	0.1360423316
382	0.1359812546
383	0.1359591582
384	0.1358696667
385	0.1358229359
386	0.1357665174
387	0.1357102836
388	0.1356472798
389	0.1355661908
390	0.1354541507
391	0.135362002
392	0.1352779077
393	0.1352116983
394	0.1351460866
395	0.1350814484
396	0.1349973003
397	0.1349487128
398	0.1348932323
399	0.1348061261
400	0.1347524205
401	0.1346519786
402	0.1345831491
403	0.1345229113
404	0.1344868251
405	0.1344202577
406	0.1343739335
407	0.134332574
408	0.1342979639
409	0.1342343657
410	0.1341643404
