iter	Passed	Remaining
0	6	3410
1	13	3385
2	20	3379
3	27	3467
4	34	3405
5	40	3372
6	48	3400
7	55	3436
8	62	3412
9	69	3426
10	77	3439
11	83	3380
12	89	3334
13	96	3345
14	102	3317
15	108	3285
16	116	3317
17	125	3348
18	133	3390
19	140	3383
20	146	3351
21	154	3357
22	162	3365
23	169	3355
24	178	3386
25	185	3382
26	192	3373
27	199	3355
28	209	3396
29	217	3413
30	226	3423
31	239	3499
32	246	3492
33	254	3482
34	261	3480
35	271	3504
36	279	3493
37	287	3501
38	295	3494
39	305	3515
40	312	3503
41	322	3517
42	330	3513
43	338	3503
44	345	3494
45	353	3489
46	361	3481
47	368	3469
48	375	3457
49	382	3446
50	390	3440
51	397	3425
52	405	3421
53	412	3409
54	419	3397
55	427	3393
56	434	3374
57	439	3353
58	448	3355
59	455	3341
60	464	3343
61	472	3340
62	482	3349
63	491	3350
64	500	3349
65	508	3343
66	517	3342
67	526	3347
68	543	3395
69	551	3390
70	559	3382
71	569	3385
72	576	3374
73	586	3376
74	594	3369
75	602	3358
76	611	3359
77	618	3344
78	624	3327
79	631	3314
80	637	3296
81	643	3281
82	650	3267
83	657	3254
84	663	3238
85	670	3229
86	678	3220
87	684	3203
88	690	3188
89	697	3176
90	703	3160
91	709	3144
92	716	3135
93	723	3124
94	729	3109
95	737	3104
96	744	3092
97	750	3079
98	759	3076
99	768	3072
100	778	3074
101	785	3064
102	793	3056
103	802	3055
104	814	3063
105	823	3062
106	834	3066
107	846	3073
108	856	3071
109	865	3067
110	877	3076
111	890	3086
112	899	3081
113	909	3078
114	917	3072
115	925	3063
116	931	3049
117	939	3040
118	946	3029
119	954	3022
120	961	3012
121	970	3006
122	979	3001
123	986	2990
124	994	2983
125	1001	2973
126	1010	2966
127	1020	2966
128	1031	2967
129	1040	2962
130	1051	2962
131	1060	2957
132	1069	2950
133	1076	2940
134	1083	2930
135	1091	2921
136	1098	2909
137	1105	2900
138	1114	2893
139	1121	2883
140	1130	2877
141	1138	2869
142	1146	2863
143	1156	2858
144	1168	2859
145	1176	2852
146	1185	2846
147	1193	2838
148	1200	2828
149	1206	2815
150	1214	2807
151	1222	2799
152	1231	2793
153	1240	2787
154	1247	2777
155	1256	2771
156	1266	2766
157	1275	2760
158	1284	2754
159	1293	2748
160	1302	2742
161	1310	2733
162	1318	2726
163	1326	2717
164	1334	2708
165	1342	2700
166	1350	2693
167	1358	2685
168	1366	2677
169	1374	2668
170	1383	2661
171	1392	2656
172	1401	2650
173	1410	2642
174	1419	2636
175	1429	2632
176	1442	2631
177	1450	2623
178	1458	2615
179	1466	2607
180	1475	2601
181	1484	2593
182	1493	2587
183	1502	2579
184	1511	2573
185	1518	2563
186	1526	2555
187	1534	2546
188	1541	2536
189	1549	2527
190	1555	2516
191	1565	2510
192	1572	2500
193	1578	2490
194	1587	2482
195	1595	2474
196	1604	2467
197	1611	2458
198	1620	2450
199	1626	2439
200	1633	2429
201	1639	2419
202	1646	2408
203	1654	2400
204	1660	2389
205	1666	2378
206	1673	2369
207	1680	2359
208	1688	2351
209	1695	2341
210	1701	2330
211	1708	2320
